Date,Amount,Description,Category
2025-08-01,250.0,Pizza at Dominos,Food
2025-08-02,120.0,Uber ride,Transport
2025-08-03,500.0,Hostel rent,Rent
2025-08-04,180.0,Movie ticket,Entertainment
2025-08-05,90.0,Coffee and snacks,Food
2025-08-06,150.0,Phone recharge,Bills
2025-08-07,700.0,Running shoes from Amazon,Shopping
2025-08-08,100.0,Notebook and pens,Education
2025-08-09,300.0,Restaurant dinner,Food
2025-08-10,450.0,Electricity bill,Bills
2025-08-07,1000.0,Went to watch movies,Entertainment
2025-08-03,500.0,Use for the treatment in hospital,Health
2025-07-01,250.0,Uber ride to office,Transport
2025-07-01,500.0,Dominos pizza dinner,Food
2025-07-02,1200.0,Bought electric bill online,Bills
2025-07-02,400.0,Movie ticket for Oppenheimer,Entertainment
2025-07-03,800.0,Doctor consultation,Health
2025-07-03,1500.0,Gym membership,Health
2025-07-04,350.0,Lunch at KFC,Food
2025-07-04,300.0,Booked Ola cab,Transport
2025-07-05,199.0,Recharge Airtel mobile,Bills
2025-07-05,700.0,Buy medicines,Health
2025-07-06,600.0,Watched Netflix,Entertainment
2025-07-06,150.0,Vegetable shopping,Food
2025-07-07,120.0,Auto fare to station,Transport
2025-07-07,1100.0,Electricity bill,Bills
2025-07-08,450.0,Zomato food order,Food
2025-07-08,50.0,Bus ticket to city,Transport
2025-07-09,999.0,Amazon order payment,Shopping
2025-07-09,200.0,Bought Dettol soap,Health
2025-07-10,99.0,iTunes subscription,Entertainment
2025-07-10,80.0,Drinking water can,Bills
2025-08-07,500.0,As gift on Rakshabandhan,Others
2025-08-12,100.0,Mobile Recharge,Bills
2025-08-13,200.0,Groceries shopping,Food
2025-08-14,300.0,Clothes shopping,Shopping
2025-08-15,150.0,Petrol for bike,Transport
2025-08-16,400.0,Restaurant lunch,Food
2025-08-17,600.0,New laptop purchase,Shopping
2025-08-17,1200.0,Bought new jeans,Shopping
2025-08-18,800.0,Online T-shirt purchase,Shopping
2025-08-19,1500.0,Shopping at mall,Shopping
