Date,Amount,Description,Category
2025-08-13,120.50,Uber ride to office,Transport
2025-08-12,550.00,Pizza from Dominos,Food
2025-08-10,1500.00,Monthly rent payment,Rent
2025-08-09,780.75,Electricity bill,Utilities
2025-08-08,320.40,Grocery shopping at supermarket,Groceries
2025-08-07,250.00,Medicine purchase from pharmacy,Health
2025-08-06,450.00,Movie tickets for family,Entertainment
2025-08-05,999.99,New shirt from mall,Shopping
2025-08-04,699.00,Internet recharge,Bills
2025-08-03,60.00,Bus fare to work,Transport
2025-08-02,350.00,Gift for friend birthday,Others
2025-08-01,5000.00,School fees for child,Education
2025-07-30,200.00,Charity donation to NGO,Donations
2025-07-29,145.25,Snacks from bakery,Food
2025-07-28,870.60,Petrol refill,Transport
2025-08-14,100.0,Paid on rakshabandhan to sister,Bills

2025-08-14,250.0,Bought new book,Groceries
2025-08-14,300.0,Bought new Books,Education
2025-08-14,299.0,Got subscription of netflix,Entertainment
2025-08-12,300.0,spent on bike ,Transport
2025-08-14,51.0,eating sweets,Food

2025-08-22,100.0,eat some healthy food,Food
2025-08-22,199.0,recharged my phone sim,Bills
2025-08-22,300.0,checked up my eyes,Health
